Discharge
54.56
48.56
46.5
43
40.12
43.94
44.5
48.12
46.12
40
39.31
41
42.56
42.06
39.19
36.81
33.69
36.94
35.62
39.88
38.12
36.62
37.88
38.62
31
31.12
26.81
27.88
30.88
26.56
26.81
29.81
28.06
27.81
25.25
23.88
25.44
33.56
29.44
28.94
37.69
44.38
39.62
34.19
49
65.19
51.62
41.12
64.94
63.62
42.69
41.81
38.38
36.25
55
54.56
35.31
33
45.88
44.88
39.44
47.12
55.19
55.75
57.38
39.31
33.56
47.31
39.19
54.88
52.38
38
32.12
45.94
51.88
50.69
45.62
34.88
23.38
20.94
20.62
26.94
22.62
17.44
28.25
50.69
43.75
48.94
50.94
34.38
25.31
21.38
23.81
21.5
40
47.44
46.12
49.94
31.12
24.56
20.19
19.75
21.56
19.12
15.31
19.25
21
25.94
22.69
16.81
15.44
15
15.88
13.69
13
16.81
17.25
18.12
24.44
36.69
56.06
55.12
45.75
46.88
57.25
63.62
59.38
62.38
64.38
64.62
71.5
76.31
72.94
69.5
61.25
58.81
56.44
57.5
55.5
55.06
50.69
42.62
44.38
47.31
51.62
50.31
49.56
44.38
45.12
52.56
55.94
51.5
61.62
73.62
64
63.12
59.75
56.94
56
56.44
58.12
57.12
53.56
55.44
59.88
75.19
76
77.31
74.38
77.06
84.81
79.75
83.5
83.75
85.69
83.31
82.62
87.5
85.25
80.06
79.81
79.94
88.69
86.06
82.56
83.44
83.56
86.56
86.56
86.62
85.5
87.44
87.69
85.81
91.19
89.88
83.5
82.25
83.19
86
88.75
86.38
86.62
86.44
86.19
83.31
85.12
90.12
86.19
91.12
85.06
87.75
91
86.94
86.31
83.5
81.12
84.44
86.06
85.31
86.62
85.06
83.81
87.12
79.75
86.94
87.88
87.38
85.19
82.5
86.38
81.31
86.44
87.38
87.81
86.31
88.56
88
92.06
86.69
87.38
87.56
86.81
82
86.06
90.06
92.56
89.31
86.06
89.44
86.25
85.38
84.88
83.12
83.5
87.25
93.81
88.19
88.5
87.12
86.38
85.88
82.44
85.31
85.75
87.94
90.69
88.69
89.19
88.25
88.31
87.62
87.62
89.19
90.19
88.88
88
94.25
93.56
88.12
87.19
84.94
86.75
92.44
80.06
80.62
79.81
81.25
69.75
63.31
71.06
71.06
72.75
74.81
79.06
73.94
76.94
77
76.38
76.12
83.25
83
77.12
76.06
72.75
78.69
86.44
92.31
89.94
94.62
85.5
67
68.44
70.31
66.25
84.62
86.69
82.88
77.94
80.38
77.19
68.62
73.25
76.69
77.12
71.56
72.44
76.38
74.19
72.94
72.62
74.31
69.56
64.25
58.94
62.94
80.31
85.62
88.12
80.94
66.06
73.12
74.44
76.62
75.94
75.94
68.88
63.62
68.12
71.81
85.19
84.12
72.69
69.56
59.62
61.81
61.31
58.44
58.75
60
60.19
64.94
66.88
68.94
71.38
77.44
69.94
55.44
52.31
52.88
57.25
55.94
67.62
85.44
90.81
81.06
83.31
70.44
59.31
55.44
65.31
78.69
70.69
60.25
46.94
46.69
48.06
50.75
49.06
51.12
55
57.44
54.25
50.94
46.06
48.81
48.69
53.38
47.5
35.5
37.69
45.75
44.88
43.44
40.69
40.38
41.94
43.31
39.81
36.5
34.38
33.62
35.44
51.88
44
33.81
29.31
35.12
38.19
38.62
35.38
37.56
42.81
51.56
56.12
39
32.44
34.88
38.31
34.69
29.5
27.62
28.38
29.25
32
31.5
32.31
38.31
39.62
44.06
37
32.44
30.44
23.12
24.19
25.62
35.81
33.75
26.25
24.38
17.88
22.44
18.44
18.94
19.75
20.88
19.75
21.81
27.88
31.12
39.94
37.44
25.94
22.75
23.25
23.56
20.44
34.56
33.88
24.94
16.19
15.69
11.44
11.56
9.94
10.25
14.5
28.69
19.56
18.06
26.25
29.06
38.19
34.19
18.62
16.38
15.69
15.19
19.94
19.31
17.62
17.06
16.44
17.12
16.62
15.94
18.31
11.56
12.69
17
22.81
17.69
17.62
17.38
24.44
33.44
28.81
20
16.94
16
22.25
27.56
31.25
40.81
36.25
38.25
42.94
41.19
53.19
58.19
57.88
71.5
75
73.62
72.69
69
67.38
68.5
65.81
74.25
74.88
65.5
56.69
51.69
50.12
50.25
49.81
52.12
61.44
69.62
63.94
60.81
60.19
60.88
72.06
79.12
82
73.62
73.94
70.94
73.88
70.25
75.25
70.69
68.25
70.75
66.44
64.12
68.31
76.56
82.06
81
86.31
86.31
86.12
88.5
89.12
87.81
86.75
87.31
85.06
86.56
88.19
85.19
89.69
88.62
82.31
84.44
85.69
87.88
88.94
89.38
88.44
84.44
85.62
82.88
85.81
92.31
91.38
92.12
89.25
88.25
88
87.75
88.56
88.94
86
84.25
88.44
91.25
88.81
88.5
91
89.19
92.44
91.75
87.5
85.19
90.62
91.38
91.81
91.25
90.44
90.81
89.56
90.56
88.94
85.31
81.88
81.88
84.81
84.38
81.5
79.5
84.38
86.81
86.88
84.06
86.38
90.25
87.81
88
82.69
84.44
82.31
79.88
81.12
81.62
80.06
75.25
77
90.69
85.44
88.31
86.62
88.31
84.19
82.5
79.31
80
80.62
75.75
69.12
74.94
73.25
70.06
69.69
72.62
66.88
67.12
