Q
373
477.3
653.8
485
461.4
501.7
500
495
482.4
468.2
421.9
436.1
368.1
494
528
400
397.2
389.3
374.1
347.4
510
512
356.3
316.9
336.8
320
314.2
332.7
389.2
334.3
393.3
428.6
429.1
486.1
500
499.4
480.6
400
325.9
384.7
368.1
441.1
393.2
446
440
446
448
476
482
357.2
346.1
349.7
374
373.4
374
374
292.4
276
270
350.2
319.9
358.2
354
413.1
571.6
479.8
416
450
433.4
408
414
402
402
406
408
406
402
406
412.2
350
354
360
390.4
385
381.1
333.5
396.1
354.7
389
429.3
54.42
54.43
54.44
54.45
54.44
54.39
54.35
54.265
54.265
54.27
54.305
54.305
54.34
54.33
54.34
54.355
54.38
54.39
54.3
54.255
54.22
54.225
54.22
54.23
54.23
54.21
54.2
54.19
54.2
54.18
54.195
54.2
54.21
54.31
54.3
54.295
54.31
54.295
54.285
54.28
54.275
54.275
54.28
54.285
54.28
54.275
54.28
54.285
54.19
54.2
54.21
54.215
54.2
54.19
54.18
54.195
54.2
54.205
54.26
370
390
385.9
412.3
503.5
567.5
553.2
520
517.1
482.8
497.5
566.9
501.4
480
518.9
422.6
412
360.2
490
558
507.2
438.6
369.4
337.6
313
324.6
276.3
263.3
399
340
54.22
54.26
54.26
54.26
54.31
54.37
54.49
54.45
54.45
54.5
54.45
54.51
54.5
54.42
54.52
54.4
54.39
54.31
54.4
54.49
54.47
54.38
54.29
54.23
54.13
54.12
54.05
54.03
54.27
54.18
338
340
332
352
347
316
320
320
310
314
302
250
176.6
161
156.1
144.4
141
135
131.3
128.6
112.5
120.6
121
107.7
112
118.9
125
132
145
146
148
54.17
54.18
54.16
54.2
54.19
54.13
54.14
54.14
54.12
54.13
54.1
53.99
53.8
53.74
53.73
53.66
53.65
53.55
53.33
53.55
53.4
53.34
53.33
53.36
53.4
53.47
53.52
53.57
53.65
53.66
53.67
